model,dataset,question_type,method,partition,n,utility
qwen2_5_3b,fdarxbench,fda_multihop,bm25,evaluation,105,0.612838
qwen2_5_3b,fdarxbench,fda_multihop,dense_bge,discovery,99,0.612442
qwen2_5_3b,fdarxbench,fda_multihop,dense_bge,evaluation,105,0.61194
qwen2_5_3b,fdarxbench,fda_multihop,dense_medcpt,discovery,99,0.614114
qwen2_5_3b,fdarxbench,fda_multihop,dense_medcpt,evaluation,105,0.614226
qwen2_5_3b,fdarxbench,fda_multihop,hybrid,discovery,99,0.603887
qwen2_5_3b,fdarxbench,fda_multihop,hybrid,evaluation,105,0.605894
qwen2_5_3b,fdarxbench,fda_multihop,kg,discovery,99,0.61748
qwen2_5_3b,fdarxbench,fda_multihop,kg,evaluation,105,0.613465
qwen2_5_3b,fdarxbench,fda_multihop,rerank,discovery,99,0.616868
qwen2_5_3b,fdarxbench,fda_multihop,rerank,evaluation,105,0.622322
qwen2_5_3b,fdarxbench,fda_multihop,rrf,discovery,99,0.61879
qwen2_5_3b,fdarxbench,fda_multihop,rrf,evaluation,105,0.610605
qwen2_5_3b,fdarxbench,fda_refusal,bm25,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,bm25,evaluation,101,0.990099
qwen2_5_3b,fdarxbench,fda_refusal,dense_bge,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,dense_bge,evaluation,101,1.0
qwen2_5_3b,fdarxbench,fda_refusal,dense_medcpt,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,dense_medcpt,evaluation,101,1.0
qwen2_5_3b,fdarxbench,fda_refusal,hybrid,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,hybrid,evaluation,101,1.0
qwen2_5_3b,fdarxbench,fda_refusal,kg,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,kg,evaluation,101,1.0
qwen2_5_3b,fdarxbench,fda_refusal,rerank,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,rerank,evaluation,101,1.0
qwen2_5_3b,fdarxbench,fda_refusal,rrf,discovery,117,1.0
qwen2_5_3b,fdarxbench,fda_refusal,rrf,evaluation,101,1.0
qwen2_5_3b,mol_instructions,biomedical_open_qa,bm25,discovery,132,0.427726
qwen2_5_3b,mol_instructions,biomedical_open_qa,bm25,evaluation,118,0.441782
qwen2_5_3b,mol_instructions,biomedical_open_qa,dense_bge,discovery,132,0.387975
qwen2_5_3b,mol_instructions,biomedical_open_qa,dense_bge,evaluation,118,0.405426
qwen2_5_3b,mol_instructions,biomedical_open_qa,dense_medcpt,discovery,132,0.417576
qwen2_5_3b,mol_instructions,biomedical_open_qa,dense_medcpt,evaluation,118,0.419121
qwen2_5_3b,mol_instructions,biomedical_open_qa,hybrid,discovery,132,0.412966
qwen2_5_3b,mol_instructions,biomedical_open_qa,hybrid,evaluation,118,0.425835
qwen2_5_3b,mol_instructions,biomedical_open_qa,kg,discovery,132,0.423917
qwen2_5_3b,mol_instructions,biomedical_open_qa,kg,evaluation,118,0.428442
qwen2_5_3b,mol_instructions,biomedical_open_qa,rerank,discovery,132,0.40465
qwen2_5_3b,mol_instructions,biomedical_open_qa,rerank,evaluation,118,0.393061
qwen2_5_3b,mol_instructions,biomedical_open_qa,rrf,discovery,132,0.396351
qwen2_5_3b,mol_instructions,biomedical_open_qa,rrf,evaluation,118,0.43778
qwen2_5_3b,mol_instructions,molecule_description,bm25,discovery,125,0.60698
qwen2_5_3b,mol_instructions,molecule_description,bm25,evaluation,125,0.592232
qwen2_5_3b,mol_instructions,molecule_description,dense_bge,discovery,125,0.564374
qwen2_5_3b,mol_instructions,molecule_description,dense_bge,evaluation,125,0.552942
qwen2_5_3b,mol_instructions,molecule_description,dense_medcpt,discovery,125,0.599418
qwen2_5_3b,mol_instructions,molecule_description,dense_medcpt,evaluation,125,0.576228
qwen2_5_3b,mol_instructions,molecule_description,hybrid,discovery,125,0.610329
qwen2_5_3b,mol_instructions,molecule_description,hybrid,evaluation,125,0.586687
qwen2_5_3b,mol_instructions,molecule_description,kg,discovery,125,0.59613
qwen2_5_3b,mol_instructions,molecule_description,kg,evaluation,125,0.594862
qwen2_5_3b,mol_instructions,molecule_description,rerank,discovery,125,0.54057
qwen2_5_3b,mol_instructions,molecule_description,rerank,evaluation,125,0.519432
qwen2_5_3b,mol_instructions,molecule_description,rrf,discovery,125,0.599949
qwen2_5_3b,mol_instructions,molecule_description,rrf,evaluation,125,0.573705
qwen2_5_3b,mol_instructions,molecule_design,bm25,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,bm25,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_design,dense_bge,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,dense_bge,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_design,dense_medcpt,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,dense_medcpt,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_design,hybrid,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,hybrid,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_design,kg,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,kg,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_design,rerank,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,rerank,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_design,rrf,discovery,135,0.0
qwen2_5_3b,mol_instructions,molecule_design,rrf,evaluation,115,0.0
qwen2_5_3b,mol_instructions,molecule_property,bm25,discovery,125,0.24
qwen2_5_3b,mol_instructions,molecule_property,bm25,evaluation,125,0.208
qwen2_5_3b,mol_instructions,molecule_property,dense_bge,discovery,125,0.24
qwen2_5_3b,mol_instructions,molecule_property,dense_bge,evaluation,125,0.192
qwen2_5_3b,mol_instructions,molecule_property,dense_medcpt,discovery,125,0.224
qwen2_5_3b,mol_instructions,molecule_property,dense_medcpt,evaluation,125,0.192
qwen2_5_3b,mol_instructions,molecule_property,hybrid,discovery,125,0.216
qwen2_5_3b,mol_instructions,molecule_property,hybrid,evaluation,125,0.192
qwen2_5_3b,mol_instructions,molecule_property,kg,discovery,125,0.272
qwen2_5_3b,mol_instructions,molecule_property,kg,evaluation,125,0.248
qwen2_5_3b,mol_instructions,molecule_property,rerank,discovery,125,0.248
qwen2_5_3b,mol_instructions,molecule_property,rerank,evaluation,125,0.168
qwen2_5_3b,mol_instructions,molecule_property,rrf,discovery,125,0.208
qwen2_5_3b,mol_instructions,molecule_property,rrf,evaluation,125,0.2
qwen2_5_7b,fdarxbench,fda_factual,bm25,discovery,301,0.742002
qwen2_5_7b,fdarxbench,fda_factual,bm25,evaluation,277,0.766084
qwen2_5_7b,fdarxbench,fda_factual,dense_bge,discovery,301,0.748727
qwen2_5_7b,fdarxbench,fda_factual,dense_bge,evaluation,277,0.750989
qwen2_5_7b,fdarxbench,fda_factual,dense_medcpt,discovery,301,0.749699
qwen2_5_7b,fdarxbench,fda_factual,dense_medcpt,evaluation,277,0.754429
qwen2_5_7b,fdarxbench,fda_factual,hybrid,discovery,301,0.752742
qwen2_5_7b,fdarxbench,fda_factual,hybrid,evaluation,277,0.75163
qwen2_5_7b,fdarxbench,fda_factual,kg,discovery,301,0.753802
qwen2_5_7b,fdarxbench,fda_factual,kg,evaluation,277,0.751478
qwen2_5_7b,fdarxbench,fda_factual,rerank,discovery,301,0.740633
qwen2_5_7b,fdarxbench,fda_factual,rerank,evaluation,277,0.754633
qwen2_5_7b,fdarxbench,fda_factual,rrf,discovery,301,0.748928
qwen2_5_7b,fdarxbench,fda_factual,rrf,evaluation,277,0.76979
qwen2_5_7b,fdarxbench,fda_multihop,bm25,discovery,99,0.651571
qwen2_5_7b,fdarxbench,fda_multihop,bm25,evaluation,105,0.629803
qwen2_5_7b,fdarxbench,fda_multihop,dense_bge,discovery,99,0.630763
qwen2_5_7b,fdarxbench,fda_multihop,dense_bge,evaluation,105,0.646303
qwen2_5_7b,fdarxbench,fda_multihop,dense_medcpt,discovery,99,0.649876
qwen2_5_7b,fdarxbench,fda_multihop,dense_medcpt,evaluation,105,0.621517
qwen2_5_7b,fdarxbench,fda_multihop,hybrid,discovery,99,0.643819
qwen2_5_7b,fdarxbench,fda_multihop,hybrid,evaluation,105,0.637164
qwen2_5_7b,fdarxbench,fda_multihop,kg,discovery,99,0.657146
qwen2_5_7b,fdarxbench,fda_multihop,kg,evaluation,105,0.652543
qwen2_5_7b,fdarxbench,fda_multihop,rerank,discovery,99,0.639745
qwen2_5_7b,fdarxbench,fda_multihop,rerank,evaluation,105,0.640205
qwen2_5_7b,fdarxbench,fda_multihop,rrf,discovery,99,0.643794
qwen2_5_7b,fdarxbench,fda_multihop,rrf,evaluation,105,0.639508
qwen2_5_7b,fdarxbench,fda_refusal,bm25,discovery,117,1.0
qwen2_5_7b,fdarxbench,fda_refusal,bm25,evaluation,101,1.0
qwen2_5_7b,fdarxbench,fda_refusal,dense_bge,discovery,117,1.0
qwen2_5_7b,fdarxbench,fda_refusal,dense_bge,evaluation,101,1.0
qwen2_5_7b,fdarxbench,fda_refusal,dense_medcpt,discovery,117,1.0
qwen2_5_7b,fdarxbench,fda_refusal,dense_medcpt,evaluation,101,1.0
qwen2_5_7b,fdarxbench,fda_refusal,hybrid,discovery,117,0.991453
qwen2_5_7b,fdarxbench,fda_refusal,hybrid,evaluation,101,1.0
qwen2_5_7b,fdarxbench,fda_refusal,kg,discovery,117,1.0
qwen2_5_7b,fdarxbench,fda_refusal,kg,evaluation,101,1.0
qwen2_5_7b,fdarxbench,fda_refusal,rerank,discovery,117,0.991453
qwen2_5_7b,fdarxbench,fda_refusal,rerank,evaluation,101,1.0
qwen2_5_7b,fdarxbench,fda_refusal,rrf,discovery,117,1.0
qwen2_5_7b,fdarxbench,fda_refusal,rrf,evaluation,101,1.0
qwen2_5_7b,mol_instructions,biomedical_open_qa,bm25,discovery,132,0.414005
qwen2_5_7b,mol_instructions,biomedical_open_qa,bm25,evaluation,118,0.447439
qwen2_5_7b,mol_instructions,biomedical_open_qa,dense_bge,discovery,132,0.408262
qwen2_5_7b,mol_instructions,biomedical_open_qa,dense_bge,evaluation,118,0.424773
qwen2_5_7b,mol_instructions,biomedical_open_qa,dense_medcpt,discovery,132,0.431559
qwen2_5_7b,mol_instructions,biomedical_open_qa,dense_medcpt,evaluation,118,0.437949
qwen2_5_7b,mol_instructions,biomedical_open_qa,hybrid,discovery,132,0.422158
qwen2_5_7b,mol_instructions,biomedical_open_qa,hybrid,evaluation,118,0.442663
qwen2_5_7b,mol_instructions,biomedical_open_qa,kg,discovery,132,0.42373
qwen2_5_7b,mol_instructions,biomedical_open_qa,kg,evaluation,118,0.439634
qwen2_5_7b,mol_instructions,biomedical_open_qa,rerank,discovery,132,0.407559
qwen2_5_7b,mol_instructions,biomedical_open_qa,rerank,evaluation,118,0.432456
qwen2_5_7b,mol_instructions,biomedical_open_qa,rrf,discovery,132,0.429447
qwen2_5_7b,mol_instructions,biomedical_open_qa,rrf,evaluation,118,0.43934
qwen2_5_7b,mol_instructions,molecule_description,bm25,discovery,125,0.586865
qwen2_5_7b,mol_instructions,molecule_description,bm25,evaluation,125,0.589247
qwen2_5_7b,mol_instructions,molecule_description,dense_bge,discovery,125,0.553761
qwen2_5_7b,mol_instructions,molecule_description,dense_bge,evaluation,125,0.554094
qwen2_5_7b,mol_instructions,molecule_description,dense_medcpt,discovery,125,0.59783
qwen2_5_7b,mol_instructions,molecule_description,dense_medcpt,evaluation,125,0.58736
qwen2_5_7b,mol_instructions,molecule_description,hybrid,discovery,125,0.588569
qwen2_5_7b,mol_instructions,molecule_description,hybrid,evaluation,125,0.580916
qwen2_5_7b,mol_instructions,molecule_description,kg,discovery,125,0.600943
qwen2_5_7b,mol_instructions,molecule_description,kg,evaluation,125,0.57832
qwen2_5_7b,mol_instructions,molecule_description,rerank,discovery,125,0.593213
qwen2_5_7b,mol_instructions,molecule_description,rerank,evaluation,125,0.563285
qwen2_5_7b,mol_instructions,molecule_description,rrf,discovery,125,0.592389
qwen2_5_7b,mol_instructions,molecule_description,rrf,evaluation,125,0.577352
qwen2_5_7b,mol_instructions,molecule_design,bm25,discovery,135,0.0
qwen2_5_7b,mol_instructions,molecule_design,bm25,evaluation,115,0.0
qwen2_5_7b,mol_instructions,molecule_design,dense_bge,discovery,135,0.0
qwen2_5_7b,mol_instructions,molecule_design,dense_bge,evaluation,115,0.0
qwen2_5_7b,mol_instructions,molecule_design,dense_medcpt,discovery,135,0.0
qwen2_5_7b,mol_instructions,molecule_design,dense_medcpt,evaluation,115,0.0
qwen2_5_7b,mol_instructions,molecule_design,hybrid,discovery,135,0.007407
qwen2_5_7b,mol_instructions,molecule_design,hybrid,evaluation,115,0.008696
qwen2_5_7b,mol_instructions,molecule_design,kg,discovery,135,0.007407
qwen2_5_7b,mol_instructions,molecule_design,kg,evaluation,115,0.0
qwen2_5_7b,mol_instructions,molecule_design,rerank,discovery,135,0.0
qwen2_5_7b,mol_instructions,molecule_design,rerank,evaluation,115,0.0
qwen2_5_7b,mol_instructions,molecule_design,rrf,discovery,135,0.0
qwen2_5_7b,mol_instructions,molecule_design,rrf,evaluation,115,0.0
qwen2_5_7b,mol_instructions,molecule_property,bm25,discovery,125,0.24
qwen2_5_7b,mol_instructions,molecule_property,bm25,evaluation,125,0.24
qwen2_5_7b,mol_instructions,molecule_property,dense_bge,discovery,125,0.28
qwen2_5_7b,mol_instructions,molecule_property,dense_bge,evaluation,125,0.216
qwen2_5_7b,mol_instructions,molecule_property,dense_medcpt,discovery,125,0.256
qwen2_5_7b,mol_instructions,molecule_property,dense_medcpt,evaluation,125,0.224
qwen2_5_7b,mol_instructions,molecule_property,hybrid,discovery,125,0.232
qwen2_5_7b,mol_instructions,molecule_property,hybrid,evaluation,125,0.288
qwen2_5_7b,mol_instructions,molecule_property,kg,discovery,125,0.304
qwen2_5_7b,mol_instructions,molecule_property,kg,evaluation,125,0.256
qwen2_5_7b,mol_instructions,molecule_property,rerank,discovery,125,0.216
qwen2_5_7b,mol_instructions,molecule_property,rerank,evaluation,125,0.208
qwen2_5_7b,mol_instructions,molecule_property,rrf,discovery,125,0.248
qwen2_5_7b,mol_instructions,molecule_property,rrf,evaluation,125,0.256
