dataset,question_type,method,source,n,mean_gold_token_recall
mol_instructions,molecule_design,kg,drugchat_chembl,250,0.0
mol_instructions,molecule_design,kg,drugchat_pubchem,250,0.0
mol_instructions,molecule_design,kg,fdarxbench_label,250,0.0
mol_instructions,molecule_design,kg,primekg,250,0.0
mol_instructions,molecule_design,skill_hybrid,drugchat_chembl,250,0.0
mol_instructions,molecule_design,skill_hybrid,drugchat_pubchem,250,0.0
mol_instructions,molecule_design,skill_hybrid,fdarxbench_label,250,0.0
mol_instructions,molecule_design,skill_hybrid,primekg,250,0.0
mol_instructions,molecule_design,skill_schema_v1,drugchat_chembl,250,0.0
mol_instructions,molecule_design,skill_schema_v1,drugchat_pubchem,250,0.0
mol_instructions,molecule_design,skill_schema_v1,fdarxbench_label,250,0.0
mol_instructions,molecule_design,skill_schema_v1,primekg,250,0.0
mol_instructions,molecule_property,bm25,drugchat_chembl,250,0.0
mol_instructions,molecule_property,bm25,drugchat_pubchem,250,0.0
mol_instructions,molecule_property,bm25,fdarxbench_label,250,0.0
mol_instructions,molecule_property,bm25,primekg,250,0.0
mol_instructions,molecule_property,hybrid,drugchat_chembl,250,0.0
mol_instructions,molecule_property,hybrid,drugchat_pubchem,250,0.0
mol_instructions,molecule_property,hybrid,fdarxbench_label,250,0.0
mol_instructions,molecule_property,hybrid,primekg,250,0.0
mol_instructions,molecule_property,kg,drugchat_chembl,250,0.0
mol_instructions,molecule_property,kg,drugchat_pubchem,250,0.0
mol_instructions,molecule_property,kg,fdarxbench_label,250,0.0
mol_instructions,molecule_property,kg,primekg,250,0.0
mol_instructions,molecule_property,skill_hybrid,drugchat_chembl,250,0.0
mol_instructions,molecule_property,skill_hybrid,drugchat_pubchem,250,0.0
mol_instructions,molecule_property,skill_hybrid,fdarxbench_label,250,0.0
mol_instructions,molecule_property,skill_hybrid,primekg,250,0.0
mol_instructions,molecule_property,skill_schema_v1,drugchat_chembl,250,0.0
mol_instructions,molecule_property,skill_schema_v1,drugchat_pubchem,250,0.0
mol_instructions,molecule_property,skill_schema_v1,fdarxbench_label,250,0.0
mol_instructions,molecule_property,skill_schema_v1,primekg,250,0.0
